지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,2012-10-09 00:01,16.4,1.2,1010.1,62.9,0
108,2012-10-09 00:02,16.3,1.2,1010.1,63.4,0
108,2012-10-09 00:03,16.3,1.2,1010.1,63.6,0
108,2012-10-09 00:04,16.2,1.9,1010.1,63.9,0
108,2012-10-09 00:05,16.2,1.5,1010.1,64.1,0
108,2012-10-09 00:06,16.1,1.7,1010.1,64.6,0
108,2012-10-09 00:07,16,1.2,1010.1,65.1,0
108,2012-10-09 00:08,16,.6,1010.1,65.3,0
108,2012-10-09 00:09,16,2.1,1010.1,65.7,0
108,2012-10-09 00:10,15.9,1.9,1010,65.5,0
108,2012-10-09 00:11,15.9,2.1,1010,65.5,0
108,2012-10-09 00:12,15.9,1.8,1010.1,65.9,0
108,2012-10-09 00:13,15.9,2.1,1010.1,66.1,0
108,2012-10-09 00:14,15.8,2.2,1010.1,66.2,0
108,2012-10-09 00:15,15.8,2.1,1010.1,66.4,0
108,2012-10-09 00:16,15.8,2.2,1010.1,66.5,0
108,2012-10-09 00:17,15.8,2.2,1010.1,66.4,0
108,2012-10-09 00:18,15.8,2,1010.1,66.2,0
108,2012-10-09 00:19,15.8,1.7,1010,66.3,0
108,2012-10-09 00:20,15.7,2,1010,66.2,0
108,2012-10-09 00:21,15.7,2.2,1010,66.5,0
108,2012-10-09 00:22,15.7,2.1,1010,66.7,0
108,2012-10-09 00:23,15.7,2.1,1010,66.8,0
108,2012-10-09 00:24,15.7,2.3,1010,67,0
108,2012-10-09 00:25,15.7,2.2,1010,67.2,0
108,2012-10-09 00:26,15.7,2.2,1010,67.3,0
108,2012-10-09 00:27,15.7,2.3,1010,67.3,0
108,2012-10-09 00:28,15.7,2.3,1010,67.5,0
108,2012-10-09 00:29,15.7,2.5,1010,67.6,0
